date,name
2006-11-13,Remembrance Day
2006-12-25,Christmas Day
2006-12-26,Boxing Day
2007-01-01,New Year's Day
2007-04-06,Good Friday
2007-05-21,Victoria Day
2007-07-02,Canada Day
2007-08-06,Civic Holiday
2007-09-03,Labour Day
2007-10-08,Thanksgiving (CA)
2007-11-12,Remembrance Day
2007-12-25,Christmas Day
2007-12-26,Boxing Day
2008-01-01,New Year's Day
2008-02-18,Family Day
2008-03-21,Good Friday
2008-05-19,Victoria Day
2008-07-01,Canada Day
2008-08-04,Civic Holiday
2008-09-01,Labour Day
2008-10-13,Thanksgiving (CA)
2008-11-11,Remembrance Day
2008-12-25,Christmas Day
2008-12-26,Boxing Day
2009-01-01,New Year's Day
2009-02-16,Family Day
2009-04-10,Good Friday
2009-05-18,Victoria Day
2009-07-01,Canada Day
2009-08-03,Civic Holiday
2009-09-07,Labour Day
2009-10-12,Thanksgiving (CA)
2009-11-11,Remembrance Day
2009-12-25,Christmas Day
2009-12-28,Boxing Day (obs)
2010-01-01,New Year's Day
2010-02-15,Family Day
2010-04-02,Good Friday
2010-05-24,Victoria Day
2010-07-01,Canada Day
2010-08-02,Civic Holiday
2010-09-06,Labour Day
2010-10-11,Thanksgiving (CA)
2010-11-11,Remembrance Day
2010-12-27,Christmas Day (obs)
2010-12-28,Boxing Day (obs)
2011-01-03,New Year's Day
2011-02-21,Family Day
2011-04-22,Good Friday
2011-05-23,Victoria Day
2011-07-01,Canada Day
2011-08-01,Civic Holiday
2011-09-05,Labour Day
2011-10-10,Thanksgiving (CA)
2011-11-11,Remembrance Day
2011-12-26,Christmas Day (obs)
2011-12-27,Boxing Day (obs)
2012-01-02,New Year's Day
2012-02-20,Family Day
2012-04-06,Good Friday
2012-05-21,Victoria Day
2012-07-02,Canada Day
2012-08-06,Civic Holiday
2012-09-03,Labour Day
2012-10-08,Thanksgiving (CA)
2012-11-12,Remembrance Day
2012-12-25,Christmas Day
2012-12-26,Boxing Day
2013-01-01,New Year's Day
2013-02-18,Family Day
2013-03-29,Good Friday
2013-05-20,Victoria Day
2013-07-01,Canada Day
2013-08-05,Civic Holiday
2013-09-02,Labour Day
2013-10-14,Thanksgiving (CA)
2013-11-11,Remembrance Day
2013-12-25,Christmas Day
2013-12-26,Boxing Day
2014-01-01,New Year's Day
2014-02-17,Family Day
2014-04-18,Good Friday
2014-05-19,Victoria Day
2014-07-01,Canada Day
2014-08-04,Civic Holiday
2014-09-01,Labour Day
2014-10-13,Thanksgiving (CA)
2014-11-11,Remembrance Day
2014-12-25,Christmas Day
2014-12-26,Boxing Day
2015-01-01,New Year's Day
2015-02-16,Family Day
2015-04-03,Good Friday
2015-05-18,Victoria Day
2015-07-01,Canada Day
2015-08-03,Civic Holiday
2015-09-07,Labour Day
2015-10-12,Thanksgiving (CA)
2015-11-11,Remembrance Day
2015-12-25,Christmas Day
2015-12-28,Boxing Day (obs)
2016-01-01,New Year's Day
2016-02-15,Family Day
2016-03-25,Good Friday
2016-05-23,Victoria Day
2016-07-01,Canada Day
2016-08-01,Civic Holiday
2016-09-05,Labour Day
2016-10-10,Thanksgiving (CA)
2016-11-11,Remembrance Day
2016-12-26,Christmas Day (obs)
2016-12-27,Boxing Day (obs)
2017-01-02,New Year's Day
2017-02-20,Family Day
2017-04-14,Good Friday
2017-05-22,Victoria Day
2017-07-03,Canada Day
2017-08-07,Civic Holiday
2017-09-04,Labour Day
2017-10-09,Thanksgiving (CA)
2017-11-13,Remembrance Day
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2018-01-01,New Year's Day
2018-02-19,Family Day
2018-03-30,Good Friday
2018-05-21,Victoria Day
2018-07-02,Canada Day
2018-08-06,Civic Holiday
2018-09-03,Labour Day
2018-10-08,Thanksgiving (CA)
2018-11-12,Remembrance Day
2018-12-25,Christmas Day
2018-12-26,Boxing Day
2019-01-01,New Year's Day
2019-02-18,Family Day
2019-04-19,Good Friday
2019-05-20,Victoria Day
2019-07-01,Canada Day
2019-08-05,Civic Holiday
2019-09-02,Labour Day
2019-10-14,Thanksgiving (CA)
2019-11-11,Remembrance Day
2019-12-25,Christmas Day
2019-12-26,Boxing Day
2020-01-01,New Year's Day
2020-02-17,Family Day
2020-04-10,Good Friday
2020-05-18,Victoria Day
2020-07-01,Canada Day
2020-08-03,Civic Holiday
2020-09-07,Labour Day
2020-10-12,Thanksgiving (CA)
2020-11-11,Remembrance Day
2020-12-25,Christmas Day
2020-12-28,Boxing Day (obs)
2021-01-01,New Year's Day
2021-02-15,Family Day
2021-04-02,Good Friday
2021-05-24,Victoria Day
2021-07-01,Canada Day
2021-08-02,Civic Holiday
2021-09-06,Labour Day
2021-09-30,National Day for Truth and Reconciliation
2021-10-11,Thanksgiving (CA)
2021-11-11,Remembrance Day
2021-12-27,Christmas Day (obs)
2021-12-28,Boxing Day (obs)
2022-01-03,New Year's Day
2022-02-21,Family Day
2022-04-15,Good Friday
2022-05-23,Victoria Day
2022-07-01,Canada Day
2022-08-01,Civic Holiday
2022-09-05,Labour Day
2022-09-30,National Day for Truth and Reconciliation
2022-10-10,Thanksgiving (CA)
2022-11-11,Remembrance Day
2022-12-26,Christmas Day (obs)
2022-12-27,Boxing Day (obs)
2023-01-02,New Year's Day
2023-02-20,Family Day
2023-04-07,Good Friday
2023-05-22,Victoria Day
2023-07-03,Canada Day
2023-08-07,Civic Holiday
2023-09-04,Labour Day
2023-10-02,National Day for Truth and Reconciliation
2023-10-09,Thanksgiving (CA)
2023-11-13,Remembrance Day
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2024-01-01,New Year's Day
2024-02-19,Family Day
2024-03-29,Good Friday
2024-05-20,Victoria Day
2024-07-01,Canada Day
2024-08-05,Civic Holiday
2024-09-02,Labour Day
2024-09-30,National Day for Truth and Reconciliation
2024-10-14,Thanksgiving (CA)
2024-11-11,Remembrance Day
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2025-01-01,New Year's Day
2025-02-17,Family Day
2025-04-18,Good Friday
2025-05-19,Victoria Day
2025-07-01,Canada Day
2025-08-04,Civic Holiday
2025-09-01,Labour Day
2025-09-30,National Day for Truth and Reconciliation
2025-10-13,Thanksgiving (CA)
2025-11-11,Remembrance Day
2025-12-25,Christmas Day
2025-12-26,Boxing Day
2026-01-01,New Year's Day
2026-02-16,Family Day
2026-04-03,Good Friday
2026-05-18,Victoria Day
2026-07-01,Canada Day
2026-08-03,Civic Holiday
2026-09-07,Labour Day
2026-09-30,National Day for Truth and Reconciliation
2026-10-12,Thanksgiving (CA)
2026-11-11,Remembrance Day
2026-12-25,Christmas Day
2026-12-28,Boxing Day (obs)
2027-01-01,New Year's Day
2027-02-15,Family Day
2027-03-26,Good Friday
2027-05-24,Victoria Day
2027-07-01,Canada Day
2027-08-02,Civic Holiday
2027-09-06,Labour Day
2027-09-30,National Day for Truth and Reconciliation
2027-10-11,Thanksgiving (CA)
2027-11-11,Remembrance Day
2027-12-27,Christmas Day (obs)
2027-12-28,Boxing Day (obs)
2028-01-03,New Year's Day
2028-02-21,Family Day
2028-04-14,Good Friday
2028-05-22,Victoria Day
2028-07-03,Canada Day
2028-08-07,Civic Holiday
2028-09-04,Labour Day
2028-10-02,National Day for Truth and Reconciliation
2028-10-09,Thanksgiving (CA)
2028-11-13,Remembrance Day
2028-12-25,Christmas Day
2028-12-26,Boxing Day
2029-01-01,New Year's Day
2029-02-19,Family Day
2029-03-30,Good Friday
2029-05-21,Victoria Day
2029-07-02,Canada Day
2029-08-06,Civic Holiday
2029-09-03,Labour Day
2029-10-01,National Day for Truth and Reconciliation
2029-10-08,Thanksgiving (CA)
2029-11-12,Remembrance Day
2029-12-25,Christmas Day
2029-12-26,Boxing Day
2030-01-01,New Year's Day
2030-02-18,Family Day
2030-04-19,Good Friday
2030-05-20,Victoria Day
2030-07-01,Canada Day
2030-08-05,Civic Holiday
2030-09-02,Labour Day
2030-09-30,National Day for Truth and Reconciliation
2030-10-14,Thanksgiving (CA)
2030-11-11,Remembrance Day
2030-12-25,Christmas Day
2030-12-26,Boxing Day
2031-01-01,New Year's Day
2031-02-17,Family Day
2031-04-11,Good Friday
2031-05-19,Victoria Day
2031-07-01,Canada Day
2031-08-04,Civic Holiday
2031-09-01,Labour Day
2031-09-30,National Day for Truth and Reconciliation
2031-10-13,Thanksgiving (CA)
2031-11-11,Remembrance Day
2031-12-25,Christmas Day
2031-12-26,Boxing Day
2032-01-01,New Year's Day
2032-02-16,Family Day
2032-03-26,Good Friday
2032-05-24,Victoria Day
2032-07-01,Canada Day
2032-08-02,Civic Holiday
2032-09-06,Labour Day
2032-09-30,National Day for Truth and Reconciliation
2032-10-11,Thanksgiving (CA)
2032-11-11,Remembrance Day
2032-12-27,Christmas Day (obs)
2032-12-28,Boxing Day (obs)
2033-01-03,New Year's Day
2033-02-21,Family Day
2033-04-15,Good Friday
2033-05-23,Victoria Day
2033-07-01,Canada Day
2033-08-01,Civic Holiday
2033-09-05,Labour Day
2033-09-30,National Day for Truth and Reconciliation
2033-10-10,Thanksgiving (CA)
2033-11-11,Remembrance Day
2033-12-26,Christmas Day (obs)
2033-12-27,Boxing Day (obs)
2034-01-02,New Year's Day
2034-02-20,Family Day
2034-04-07,Good Friday
2034-05-22,Victoria Day
2034-07-03,Canada Day
2034-08-07,Civic Holiday
2034-09-04,Labour Day
2034-10-02,National Day for Truth and Reconciliation
2034-10-09,Thanksgiving (CA)
2034-11-13,Remembrance Day
2034-12-25,Christmas Day
2034-12-26,Boxing Day
2035-01-01,New Year's Day
2035-02-19,Family Day
2035-03-23,Good Friday
2035-05-21,Victoria Day
2035-07-02,Canada Day
2035-08-06,Civic Holiday
2035-09-03,Labour Day
2035-10-01,National Day for Truth and Reconciliation
2035-10-08,Thanksgiving (CA)
2035-11-12,Remembrance Day
2035-12-25,Christmas Day
2035-12-26,Boxing Day
2036-01-01,New Year's Day
2036-02-18,Family Day
2036-04-11,Good Friday
2036-05-19,Victoria Day
2036-07-01,Canada Day
2036-08-04,Civic Holiday
2036-09-01,Labour Day
2036-09-30,National Day for Truth and Reconciliation
2036-10-13,Thanksgiving (CA)
2036-11-11,Remembrance Day
2036-12-25,Christmas Day
2036-12-26,Boxing Day
2037-01-01,New Year's Day
2037-02-16,Family Day
2037-04-03,Good Friday
2037-05-18,Victoria Day
2037-07-01,Canada Day
2037-08-03,Civic Holiday
2037-09-07,Labour Day
2037-09-30,National Day for Truth and Reconciliation
2037-10-12,Thanksgiving (CA)
2037-11-11,Remembrance Day
2037-12-25,Christmas Day
2037-12-28,Boxing Day (obs)
2038-01-01,New Year's Day
2038-02-15,Family Day
2038-04-23,Good Friday
2038-05-24,Victoria Day
2038-07-01,Canada Day
2038-08-02,Civic Holiday
2038-09-06,Labour Day
2038-09-30,National Day for Truth and Reconciliation
2038-10-11,Thanksgiving (CA)
2038-11-11,Remembrance Day
2038-12-27,Christmas Day (obs)
2038-12-28,Boxing Day (obs)
2039-01-03,New Year's Day
2039-02-21,Family Day
2039-04-08,Good Friday
2039-05-23,Victoria Day
2039-07-01,Canada Day
2039-08-01,Civic Holiday
2039-09-05,Labour Day
2039-09-30,National Day for Truth and Reconciliation
2039-10-10,Thanksgiving (CA)
2039-11-11,Remembrance Day
2039-12-26,Christmas Day (obs)
2039-12-27,Boxing Day (obs)
2040-01-02,New Year's Day
2040-02-20,Family Day
2040-03-30,Good Friday
2040-05-21,Victoria Day
2040-07-02,Canada Day
2040-08-06,Civic Holiday
2040-09-03,Labour Day
2040-10-01,National Day for Truth and Reconciliation
2040-10-08,Thanksgiving (CA)
2040-11-12,Remembrance Day
2040-12-25,Christmas Day
2040-12-26,Boxing Day
2041-01-01,New Year's Day
2041-02-18,Family Day
2041-04-19,Good Friday
2041-05-20,Victoria Day
2041-07-01,Canada Day
2041-08-05,Civic Holiday
2041-09-02,Labour Day
2041-09-30,National Day for Truth and Reconciliation
2041-10-14,Thanksgiving (CA)
2041-11-11,Remembrance Day
2041-12-25,Christmas Day
2041-12-26,Boxing Day
2042-01-01,New Year's Day
2042-02-17,Family Day
2042-04-04,Good Friday
2042-05-19,Victoria Day
2042-07-01,Canada Day
2042-08-04,Civic Holiday
2042-09-01,Labour Day
2042-09-30,National Day for Truth and Reconciliation
2042-10-13,Thanksgiving (CA)
2042-11-11,Remembrance Day
2042-12-25,Christmas Day
2042-12-26,Boxing Day
2043-01-01,New Year's Day
2043-02-16,Family Day
2043-03-27,Good Friday
2043-05-18,Victoria Day
2043-07-01,Canada Day
2043-08-03,Civic Holiday
2043-09-07,Labour Day
2043-09-30,National Day for Truth and Reconciliation
2043-10-12,Thanksgiving (CA)
2043-11-11,Remembrance Day
2043-12-25,Christmas Day
2043-12-28,Boxing Day (obs)
2044-01-01,New Year's Day
2044-02-15,Family Day
2044-04-15,Good Friday
2044-05-23,Victoria Day
2044-07-01,Canada Day
2044-08-01,Civic Holiday
2044-09-05,Labour Day
2044-09-30,National Day for Truth and Reconciliation
2044-10-10,Thanksgiving (CA)
2044-11-11,Remembrance Day
2044-12-26,Christmas Day (obs)
2044-12-27,Boxing Day (obs)
2045-01-02,New Year's Day
2045-02-20,Family Day
2045-04-07,Good Friday
2045-05-22,Victoria Day
2045-07-03,Canada Day
2045-08-07,Civic Holiday
2045-09-04,Labour Day
2045-10-02,National Day for Truth and Reconciliation
2045-10-09,Thanksgiving (CA)
2045-11-13,Remembrance Day
2045-12-25,Christmas Day
2045-12-26,Boxing Day
2046-01-01,New Year's Day
2046-02-19,Family Day
2046-03-23,Good Friday
2046-05-21,Victoria Day
2046-07-02,Canada Day
2046-08-06,Civic Holiday
2046-09-03,Labour Day
2046-10-01,National Day for Truth and Reconciliation
2046-10-08,Thanksgiving (CA)
2046-11-12,Remembrance Day
2046-12-25,Christmas Day
2046-12-26,Boxing Day
2047-01-01,New Year's Day
2047-02-18,Family Day
2047-04-12,Good Friday
2047-05-20,Victoria Day
2047-07-01,Canada Day
2047-08-05,Civic Holiday
2047-09-02,Labour Day
2047-09-30,National Day for Truth and Reconciliation
2047-10-14,Thanksgiving (CA)
2047-11-11,Remembrance Day
2047-12-25,Christmas Day
2047-12-26,Boxing Day
2048-01-01,New Year's Day
2048-02-17,Family Day
2048-04-03,Good Friday
2048-05-18,Victoria Day
2048-07-01,Canada Day
2048-08-03,Civic Holiday
2048-09-07,Labour Day
2048-09-30,National Day for Truth and Reconciliation
2048-10-12,Thanksgiving (CA)
2048-11-11,Remembrance Day
2048-12-25,Christmas Day
2048-12-28,Boxing Day (obs)
2049-01-01,New Year's Day
2049-02-15,Family Day
2049-04-16,Good Friday
2049-05-24,Victoria Day
2049-07-01,Canada Day
2049-08-02,Civic Holiday
2049-09-06,Labour Day
2049-09-30,National Day for Truth and Reconciliation
2049-10-11,Thanksgiving (CA)
2049-11-11,Remembrance Day
2049-12-27,Christmas Day (obs)
2049-12-28,Boxing Day (obs)
2050-01-03,New Year's Day
2050-02-21,Family Day
2050-04-08,Good Friday
2050-05-23,Victoria Day
2050-07-01,Canada Day
2050-08-01,Civic Holiday
2050-09-05,Labour Day
2050-09-30,National Day for Truth and Reconciliation
2050-10-10,Thanksgiving (CA)
2050-11-11,Remembrance Day
2050-12-26,Christmas Day (obs)
2050-12-27,Boxing Day (obs)
2051-01-02,New Year's Day
2051-02-20,Family Day
2051-03-31,Good Friday
2051-05-22,Victoria Day
2051-07-03,Canada Day
2051-08-07,Civic Holiday
2051-09-04,Labour Day
2051-10-02,National Day for Truth and Reconciliation
2051-10-09,Thanksgiving (CA)
2051-11-13,Remembrance Day
2051-12-25,Christmas Day
2051-12-26,Boxing Day
2052-01-01,New Year's Day
2052-02-19,Family Day
2052-04-19,Good Friday
2052-05-20,Victoria Day
2052-07-01,Canada Day
2052-08-05,Civic Holiday
2052-09-02,Labour Day
2052-09-30,National Day for Truth and Reconciliation
2052-10-14,Thanksgiving (CA)
2052-11-11,Remembrance Day
2052-12-25,Christmas Day
2052-12-26,Boxing Day
2053-01-01,New Year's Day
2053-02-17,Family Day
2053-04-04,Good Friday
2053-05-19,Victoria Day
2053-07-01,Canada Day
2053-08-04,Civic Holiday
2053-09-01,Labour Day
2053-09-30,National Day for Truth and Reconciliation
2053-10-13,Thanksgiving (CA)
2053-11-11,Remembrance Day
2053-12-25,Christmas Day
2053-12-26,Boxing Day
2054-01-01,New Year's Day
2054-02-16,Family Day
2054-03-27,Good Friday
2054-05-18,Victoria Day
2054-07-01,Canada Day
2054-08-03,Civic Holiday
2054-09-07,Labour Day
2054-09-30,National Day for Truth and Reconciliation
2054-10-12,Thanksgiving (CA)
2054-11-11,Remembrance Day
2054-12-25,Christmas Day
2054-12-28,Boxing Day (obs)
2055-01-01,New Year's Day
2055-02-15,Family Day
2055-04-16,Good Friday
2055-05-24,Victoria Day
2055-07-01,Canada Day
2055-08-02,Civic Holiday
2055-09-06,Labour Day
2055-09-30,National Day for Truth and Reconciliation
2055-10-11,Thanksgiving (CA)
2055-11-11,Remembrance Day
2055-12-27,Christmas Day (obs)
2055-12-28,Boxing Day (obs)
2056-01-03,New Year's Day
2056-02-21,Family Day
2056-03-31,Good Friday
2056-05-22,Victoria Day
2056-07-03,Canada Day
2056-08-07,Civic Holiday
2056-09-04,Labour Day
2056-10-02,National Day for Truth and Reconciliation
2056-10-09,Thanksgiving (CA)
2056-11-13,Remembrance Day
2056-12-25,Christmas Day
2056-12-26,Boxing Day
2057-01-01,New Year's Day
2057-02-19,Family Day
2057-04-20,Good Friday
2057-05-21,Victoria Day
2057-07-02,Canada Day
2057-08-06,Civic Holiday
2057-09-03,Labour Day
2057-10-01,National Day for Truth and Reconciliation
2057-10-08,Thanksgiving (CA)
2057-11-12,Remembrance Day
2057-12-25,Christmas Day
2057-12-26,Boxing Day
2058-01-01,New Year's Day
2058-02-18,Family Day
2058-04-12,Good Friday
2058-05-20,Victoria Day
2058-07-01,Canada Day
2058-08-05,Civic Holiday
2058-09-02,Labour Day
2058-09-30,National Day for Truth and Reconciliation
2058-10-14,Thanksgiving (CA)
2058-11-11,Remembrance Day
2058-12-25,Christmas Day
2058-12-26,Boxing Day
2059-01-01,New Year's Day
2059-02-17,Family Day
2059-03-28,Good Friday
2059-05-19,Victoria Day
2059-07-01,Canada Day
2059-08-04,Civic Holiday
2059-09-01,Labour Day
2059-09-30,National Day for Truth and Reconciliation
2059-10-13,Thanksgiving (CA)
2059-11-11,Remembrance Day
2059-12-25,Christmas Day
2059-12-26,Boxing Day
2060-01-01,New Year's Day
2060-02-16,Family Day
2060-04-16,Good Friday
2060-05-24,Victoria Day
2060-07-01,Canada Day
2060-08-02,Civic Holiday
2060-09-06,Labour Day
2060-09-30,National Day for Truth and Reconciliation
2060-10-11,Thanksgiving (CA)
2060-11-11,Remembrance Day
2060-12-27,Christmas Day (obs)
2060-12-28,Boxing Day (obs)
